"","recipe_source_id","recipe_name","recipe_link","recipe_image","id","recipe_stars","recipe_rating_cnt","recipe_author","recipe_created","recipe_comment_cnt","recipe_time","serve_cnt","serve_unit","sections","ingredient_nutrition_url"
"0","74078","Domácí rybí salát s domácí majonézou","https://www.toprecepty.cz/recept/74078-domaci-rybi-salat-s-domaci-majonezou/","https://static.toprecepty.cz/fotky/recepty/0656/domaci-rybi-salat-s-domaci-majonezou-245743-270-160-exact.jpg","1","5,0","(1×)","RubyRom","před 20 hodinami","2 názory","






        
												32 min
							
							
 (25 min 
 příprava + 7 min 
 tepelná úprava) 
				
","4","porce","['Suroviny', 'Rychlá domácí majonéza']","https://www.toprecepty.cz/nutricni-hodnoty/74078"
"1","74077","Banánový pohár s pudinkem","https://www.toprecepty.cz/recept/74077-bananovy-pohar-s-pudinkem/","https://static.toprecepty.cz/fotky/recepty/0656/bananovy-pohar-s-pudinkem-245739-270-160-exact.jpg","1","5,0","(1×)","Anna Kocikova","21. 4. 2023 13:42","2 názory","






        
												10 min
							
							
 (10 min 
 příprava) 
				
","3","porce","['Suroviny', 'Na ozdobení']","https://www.toprecepty.cz/nutricni-hodnoty/74077"
"2","74076","Květákové kari s cizrnou a kokosovým mlékem","https://www.toprecepty.cz/recept/74076-kvetakove-kari-s-cizrnou-a-kokosovym-mlekem/","https://static.toprecepty.cz/fotky/recepty/0656/kvetakove-kari-s-cizrnou-a-kokosovym-mlekem-245737-270-160-exact.jpg","1","5,0","(1×)","Marie Svarcova","21. 4. 2023 07:23","2 názory","






        
												22 min
							
							
 (5 min 
 příprava + 17 min 
 tepelná úprava) 
				
","2","porce","['Suroviny', 'K dokončení']","https://www.toprecepty.cz/nutricni-hodnoty/74076"
"3","74075","Pomalený králík s pečenými bramborami","https://www.toprecepty.cz/recept/74075-pomaleny-kralik-s-pecenymi-bramborami/","https://static.toprecepty.cz/fotky/recepty/0656/pomaleny-kralik-s-pecenym-bramborem-245736-270-160-exact.jpg","1","0,0","(0×)","Eevous","20. 4. 2023 22:04","0 názorů","






        
												360 min
							
							
 (20 min 
 příprava + 340 min 
 tepelná úprava) 
				
","4","porce","['Suroviny']","https://www.toprecepty.cz/nutricni-hodnoty/74075"
"4","74074","Zapečená cuketa s vařeným bramborem","https://www.toprecepty.cz/recept/74074-zapecena-cuketa-s-varenym-bramborem/","https://static.toprecepty.cz/fotky/recepty/0656/zapecena-cuketa-s-varenym-bramborem-245735-270-160-exact.jpg","1","5,0","(1×)","Eevous","20. 4. 2023 21:56","1 názor","






        
												55 min
							
							
 (15 min 
 příprava + 40 min 
 tepelná úprava) 
				
","2","porce","['Suroviny']","https://www.toprecepty.cz/nutricni-hodnoty/74074"
"5","74073","Mrkvičková polévka","https://www.toprecepty.cz/recept/74073-mrkvickova-polevka/","https://static.toprecepty.cz/fotky/recepty/0656/mrkvickova-polevka-245734-270-160-exact.jpg","1","0,0","(0×)","Eevous","20. 4. 2023 21:03","0 názorů","






        
												55 min
							
							
 (10 min 
 příprava + 45 min 
 tepelná úprava) 
				
","4","porce","['Suroviny']","https://www.toprecepty.cz/nutricni-hodnoty/74073"
"6","74072","Odlehčený katův šleh s rýží basmati","https://www.toprecepty.cz/recept/74072-odlehceny-katuv-sleh-s-ryzi-basmati/","https://static.toprecepty.cz/fotky/recepty/0656/odlehceny-katuv-sleh-s-ryzi-basmati-245732-270-160-exact.jpg","1","4,0","(1×)","Eevous","20. 4. 2023 20:52","0 názorů","






        
												40 min
							
							
 (10 min 
 příprava + 30 min 
 tepelná úprava) 
				
","2","porce","['Suroviny']","https://www.toprecepty.cz/nutricni-hodnoty/74072"
"7","74071","Žampionová pomazánka se smetanou a sýrem","https://www.toprecepty.cz/recept/74071-zampionova-pomazanka-se-smetanou-a-syrem/","https://static.toprecepty.cz/fotky/recepty/0656/zampionova-pomazanka-se-smetanou-a-syrem-245731-270-160-exact.jpg","1","5,0","(2×)","RubyRom","20. 4. 2023 18:22","6 názorů","






        
												45 min
							
							
 (20 min 
 příprava + 25 min 
 tepelná úprava) 
				
","1","dávka","['Suroviny']","https://www.toprecepty.cz/nutricni-hodnoty/74071"
"8","74070","Světlé fazolové brownies","https://www.toprecepty.cz/recept/74070-svetle-fazolove-brownies/","https://static.toprecepty.cz/fotky/recepty/0656/svetle-fazolove-brownies-245729-270-160-exact.jpg","1","0,0","(0×)","Eevous","20. 4. 2023 13:44","2 názory","






        
												35 min
							
							
 (10 min 
 příprava + 25 min 
 tepelná úprava) 
				
","18","kusů","['Suroviny', 'Na dozdobení']","https://www.toprecepty.cz/nutricni-hodnoty/74070"
"9","74068","Marinované maso s domácími hranolky","https://www.toprecepty.cz/recept/74068-marinovane-maso-s-domacimi-hranolky/","https://static.toprecepty.cz/fotky/recepty/0656/marinovane-maso-s-domacimi-hranolky-245726-270-160-exact.jpg","1","0,0","(0×)","Eevous","20. 4. 2023 11:08","0 názorů","






        
												135 min
							
							
 (70 min 
 příprava + 65 min 
 tepelná úprava) 
				
","2","porce","['Suroviny']","https://www.toprecepty.cz/nutricni-hodnoty/74068"
"10","74067","Zeleninová polévka zahuštěná červenou čočkou","https://www.toprecepty.cz/recept/74067-zeleninova-polevka-zahustena-cervenou-cockou/","https://static.toprecepty.cz/fotky/recepty/0656/zeleninova-polevka-zahustena-cervenou-cockou-245721-270-160-exact.jpg","1","5,0","(2×)","Marie Svarcova","20. 4. 2023 09:29","6 názorů","






        
												25 min
							
							
 (5 min 
 příprava + 20 min 
 tepelná úprava) 
				
","3","porce","['Suroviny']","https://www.toprecepty.cz/nutricni-hodnoty/74067"
"11","74066","Cuketa s rajčaty a křenem","https://www.toprecepty.cz/recept/74066-cuketa-s-rajcaty-a-krenem/","https://static.toprecepty.cz/fotky/recepty/0656/cuketa-s-rajcaty-a-krenem-245715-270-160-exact.jpg","1","0,0","(0×)","tejaja","19. 4. 2023 11:06","2 názory","






        
												30 min
							
							
 (10 min 
 příprava + 20 min 
 tepelná úprava) 
				
","4","porce","['Suroviny']","https://www.toprecepty.cz/nutricni-hodnoty/74066"
"12","74065","Vepřový plátek s fazolkami","https://www.toprecepty.cz/recept/74065-veprovy-platek-s-fazolkami/","https://static.toprecepty.cz/fotky/recepty/0656/veprovy-platek-s-fazolkami-245712-270-160-exact.jpg","1","5,0","(2×)","tejaja","19. 4. 2023 10:38","0 názorů","






        
												25 min
							
							
 (10 min 
 příprava + 15 min 
 tepelná úprava) 
				
","4","porce","['Suroviny']","https://www.toprecepty.cz/nutricni-hodnoty/74065"
"13","74064","Kuře na paprice","https://www.toprecepty.cz/recept/74064-kure-na-paprice/","https://static.toprecepty.cz/fotky/recepty/0656/kure-na-paprice-vol-2-245711-270-160-exact.jpg","1","5,0","(1×)","Eevous","19. 4. 2023 09:38","2 názory","






        
												70 min
							
							
 (10 min 
 příprava + 60 min 
 tepelná úprava) 
				
","5","porcí","['Suroviny']","https://www.toprecepty.cz/nutricni-hodnoty/74064"
"14","74063","Brokolicoví šneci","https://www.toprecepty.cz/recept/74063-brokolicovi-sneci/","https://static.toprecepty.cz/fotky/recepty/0656/brokolicovi-sneci-245709-270-160-exact.jpg","1","5,0","(1×)","Eevous","19. 4. 2023 09:33","5 názorů","






        
												15 min
							
							
 (15 min 
 tepelná úprava) 
				
","20","kusů","['Suroviny']","https://www.toprecepty.cz/nutricni-hodnoty/74063"
"15","74062","Crinckles","https://www.toprecepty.cz/recept/74062-crinckles/","https://static.toprecepty.cz/fotky/recepty/0656/crinckles-245705-270-160-exact.jpg","1","0,0","(0×)","Eevous","19. 4. 2023 09:30","2 názory","






        
												42 min
							
							
 (30 min 
 příprava + 12 min 
 tepelná úprava, +odležení) 
				
","50","kusů","['Suroviny']","https://www.toprecepty.cz/nutricni-hodnoty/74062"
"16","74061","Kuřecí prsa v sýrové krustě ve vinné omáčce","https://www.toprecepty.cz/recept/74061-kureci-prsa-v-syrove-kruste-ve-vinne-omacce/","https://static.toprecepty.cz/fotky/recepty/0656/kureci-prsa-v-syrove-kruste-ve-vinne-omacce-245701-270-160-exact.jpg","1","0,0","(0×)","Marie Svarcova","19. 4. 2023 08:31","0 názorů","






        
												35 min
							
							
 (10 min 
 příprava + 25 min 
 tepelná úprava) 
				
","3","porce","['Suroviny']","https://www.toprecepty.cz/nutricni-hodnoty/74061"
"17","74059","Odlehčené ovesné sušenky","https://www.toprecepty.cz/recept/74059-odlehcene-ovesne-susenky/","https://static.toprecepty.cz/fotky/recepty/0656/odlehcene-ovesne-susenky-245703-270-160-exact.jpg","1","0,0","(0×)","Eevous","18. 4. 2023 23:01","4 názory","






        
												42 min
							
							
 (30 min 
 příprava + 12 min 
 tepelná úprava) 
				
","40","kusů","['Suroviny']","https://www.toprecepty.cz/nutricni-hodnoty/74059"
"18","74058","Brokolicová pizza","https://www.toprecepty.cz/recept/74058-brokolicova-pizza/","https://static.toprecepty.cz/fotky/recepty/0656/brokolicova-pizza-245698-270-160-exact.jpg","1","0,0","(0×)","Eevous","18. 4. 2023 22:56","4 názory","






        
												40 min
							
							
 (15 min 
 příprava + 25 min 
 tepelná úprava) 
				
","2","porce","['Suroviny']","https://www.toprecepty.cz/nutricni-hodnoty/74058"
"19","74057","Mascarpone bábovka","https://www.toprecepty.cz/recept/74057-mascarpone-babovka/","https://static.toprecepty.cz/fotky/recepty/0656/mascarpone-babovka-245697-270-160-exact.jpg","1","0,0","(0×)","Eevous","18. 4. 2023 22:52","2 názory","






        
												50 min
							
							
 (10 min 
 příprava + 40 min 
 tepelná úprava) 
				
","1","kus","['Suroviny']","https://www.toprecepty.cz/nutricni-hodnoty/74057"
"20","74056","Pečené kuřecí maso s bramborami","https://www.toprecepty.cz/recept/74056-pecene-kureci-maso-s-bramborami/","https://static.toprecepty.cz/fotky/recepty/0656/pecene-kureci-maso-s-bramborem-245696-270-160-exact.jpg","1","0,0","(0×)","Eevous","18. 4. 2023 22:20","0 názorů","






        
												100 min
							
							
 (20 min 
 příprava + 80 min 
 tepelná úprava, +marinování) 
				
","2","porce","['Suroviny']","https://www.toprecepty.cz/nutricni-hodnoty/74056"
"21","74055","Cibulové bagetky","https://www.toprecepty.cz/recept/74055-cibulove-bagetky/","https://static.toprecepty.cz/fotky/recepty/0656/cibulove-bagetky-245694-270-160-exact.jpg","1","5,0","(1×)","Eevous","18. 4. 2023 22:16","10 názorů","






        
												45 min
							
							
 (30 min 
 příprava + 15 min 
 tepelná úprava, + kynutí) 
				
","1","dávka","['Suroviny']","https://www.toprecepty.cz/nutricni-hodnoty/74055"
"22","74054","Teplý salát z červené čočky","https://www.toprecepty.cz/recept/74054-teply-salat-z-cervene-cocky/","https://static.toprecepty.cz/fotky/recepty/0656/teply-salat-z-cervene-cocky-245688-270-160-exact.jpg","1","5,0","(2×)","Marie Svarcova","18. 4. 2023 08:21","4 názory","






        
												15 min
							
							
 (5 min 
 příprava + 10 min 
 tepelná úprava) 
				
","3","porce","['Suroviny']","https://www.toprecepty.cz/nutricni-hodnoty/74054"
"23","74053","Polévka z červené řepy s bramborami","https://www.toprecepty.cz/recept/74053-polevka-z-cervene-repy-s-bramborami/","https://static.toprecepty.cz/fotky/recepty/0656/polevka-z-cervene-repy-s-bramborami-245681-270-160-exact.jpg","1","3,7","(3×)","tejaja","17. 4. 2023 10:11","4 názory","






        
												25 min
							
							
 (10 min 
 příprava + 15 min 
 tepelná úprava) 
				
","4","porce","['Suroviny']","https://www.toprecepty.cz/nutricni-hodnoty/74053"
"24","52503","Plněné listové koláčky vanilkovým krémem","https://www.toprecepty.cz/recept/52503-plnene-listove-kolacky-vanilkovym-kremem/","https://static.toprecepty.cz/fotky/recepty/0098/plnene-listove-kolacky-vanilkovym-kremem-182153-413-295-exact.jpg","1","4,8","(12×)","terezicka1","11. 5. 2017 21:46","3 názory","","","","['Suroviny']","https://www.toprecepty.cz/nutricni-hodnoty/52503"
